Year,Month,Monthly Total Dengue Cases,Temperature,Humidity,Rainfall
2011,1,24,23.8,88.1,7.0
2011,2,27,24.1,87.2,12.0
2011,3,19,25.3,85.5,20.0
2011,4,7,26.0,83.1,35.0
2011,5,9,27.2,81.9,55.0
2011,6,5,26.4,83.5,90.0
2011,7,13,25.7,84.7,110.0
2011,8,17,25.1,85.3,95.0
2011,9,6,24.4,86.2,70.0
2011,10,5,24.0,87.0,50.0
2011,11,5,23.6,88.4,30.0
2011,12,13,23.2,89.1,15.0
2012,1,15,24.3,85.1,4.0
2012,2,13,24.3,85.7,7.1
2012,3,15,24.6,83.3,3.1
2012,4,14,25.4,82.3,6.9
2012,5,27,25.1,86.4,6.9
2012,6,39,24.7,85.3,7.9
2012,7,28,24.9,85.2,6.4
2012,8,44,24.9,85.2,6.4
2012,9,52,24.1,88.1,11.4
2012,10,35,24.6,86.5,8.4
2012,11,37,24.8,84.8,4.1
2012,12,15,24.7,84.8,5.7
2013,1,63,24.2,88.2,8.1
2013,2,30,24.4,84.7,6.0
2013,3,14,25.5,81.1,2.7
2013,4,12,26.0,81.0,4.9
2013,5,14,26.0,82.8,5.2
2013,6,7,24.9,86.9,9.2
2013,7,23,24.5,87.7,11.0
2013,8,20,24.3,87.2,6.9
2013,9,50,24.6,86.5,4.9
2013,10,36,24.0,88.0,10.4
2013,11,27,24.2,85.9,7.8
2013,12,16,24.4,84.0,3.5
2014,1,35,23.2,86.4,6.8
2014,2,43,23.7,82.4,2.3
2014,3,41,24.3,82.5,3.8
2014,4,15,25.1,81.4,2.0
2014,5,37,25.3,84.0,4.9
2014,6,50,24.5,87.1,6.6
2014,7,67,23.4,89.1,8.5
2014,8,104,23.9,87.7,8.0
2014,9,60,23.4,88.5,7.1
2014,10,88,23.9,88.4,8.5
2014,11,63,24.7,85.2,6.1
2014,12,38,24.0,85.3,4.9
2015,1,66,25.6,89.0,5.9
2015,2,65,25.6,87.0,3.0
2015,3,41,26.1,83.2,1.1
2015,4,16,27.3,82.8,2.1
2015,5,41,28.4,78.1,2.7
2015,6,16,27.4,81.9,8.7
2015,7,30,27.6,80.4,4.2
2015,8,73,27.5,80.9,5.5
2015,9,88,27.2,82.4,8.2
2015,10,105,27.2,83.4,4.9
2015,11,165,26.8,87.3,6.5
2015,12,170,26.5,87.1,4.8
2016,1,127,26.2,86.9,1.6
2016,2,91,26.1,88.2,2.6
2016,3,69,26.8,84.4,0.4
2016,4,28,28.1,80.1,1.5
2016,5,14,28.3,81.9,8.3
2016,6,44,27.5,83.9,12.5
2016,7,186,27.6,82.0,5.2
2016,8,257,27.8,80.3,2.7
2016,9,177,27.2,82.4,6.2
2016,10,151,27.1,84.6,8.9
2016,11,148,26.5,86.6,7.6
2016,12,159,26.7,86.9,8.2
2017,1,119,25.9,88.9,12.5
2017,2,74,25.6,87.8,5.9
2017,3,50,26.1,87.4,8.0
2017,4,20,27.2,85.0,5.1
2017,5,15,27.8,84.4,10.4
2017,6,12,27.4,83.8,7.8
2017,7,43,27.2,82.6,9.1
2017,8,20,27.9,83.4,9.6
2017,9,14,27.3,83.3,11.4
2017,10,6,27.0,84.0,8.3
2017,11,24,27.0,86.6,7.3
2017,12,22,26.7,85.9,9.6
2018,1,58,26.2,87.5,7.3
2018,2,35,26.4,86.0,9.7
2018,3,65,26.5,84.6,3.7
2018,4,26,27.4,82.5,2.6
2018,5,37,27.9,82.0,6.9
2018,6,61,27.7,80.7,5.2
2018,7,116,27.3,81.6,4.7
2018,8,106,27.4,79.8,2.1
2018,9,119,26.9,82.2,5.4
2018,10,152,27.2,82.7,4.2
2018,11,250,26.5,86.6,6.1
2018,12,335,26.3,88.1,5.8
2019,1,454,25.5,88.2,5.7
2019,2,201,25.3,84.3,1.1
2019,3,216,26.1,83.2,1.9
2019,4,116,27.5,80.3,1.8
2019,5,96,28.4,78.6,4.4
2019,6,200,27.8,82.7,9.1
2019,7,800,27.2,82.1,6.2
2019,8,1010,27.7,77.1,1.4
2019,9,445,27.8,78.2,3.3
2019,10,338,27.0,83.8,7.7
2019,11,252,27.1,82.9,4.3
2019,12,141,26.4,86.4,4.2
2020,1,241,26.3,86.8,2.1
2020,2,222,25.7,87.2,3.5
2020,3,86,26.4,85.2,2.0
2020,4,40,27.2,81.6,1.0
2020,5,30,28.0,83.2,9.8
2020,6,31,27.3,84.1,14.1
2020,7,68,27.0,83.9,15.7
2020,8,44,27.2,82.9,11.7
2020,9,12,27.2,83.7,9.2
2020,10,10,26.9,84.2,13.2
2020,11,41,26.8,86.2,5.5
2020,12,50,26.7,86.6,8.2
2021,1,46,25.9,88.5,11.9
2021,2,51,26.0,87.1,12.6
2021,3,41,26.8,84.7,5.5
2021,4,37,27.1,82.5,4.5
2021,5,35,27.5,84.0,10.7
2021,6,41,27.6,81.3,8.2
2021,7,64,27.7,80.0,4.4
2021,8,42,27.5,80.0,6.5
2021,9,41,27.2,82.7,9.5
2021,10,55,27.3,83.6,8.7
2021,11,107,27.0,86.4,9.4
2021,12,89,26.2,86.9,9.8
2022,1,68,26.0,86.9,8.3
2022,2,39,26.0,87.2,3.9
2022,3,52,26.8,86.5,11.0
2022,4,73,26.8,86.5,12.2
2022,5,46,27.4,83.9,11.5
2022,6,88,27.6,81.9,7.1
2022,7,112,27.4,83.2,11.6
2022,8,77,27.3,82.0,7.9
2022,9,78,27.5,81.1,6.1
2022,10,57,27.1,84.2,9.0
2022,11,60,27.0,85.8,6.6
2022,12,41,26.4,87.1,14.5
